"Regione","Popolazione al 1° gennaio - Maschi","Popolazione al 1° gennaio - Femmine","Popolazione al 1° gennaio - Totale","Nati - Maschi","Nati - Femmine","Nati - Totale","Morti - Maschi","Morti - Femmine","Morti - Totale","Saldo Naturale - Maschi","Saldo Naturale - Femmine","Saldo Naturale - Totale","Iscritti da altri comuni - Maschi","Iscritti da altri comuni - Femmine","Iscritti da altri comuni - Totale","Iscritti dall'estero - Maschi","Iscritti dall'estero - Femmine","Iscritti dall'estero - Totale","Altri iscritti - Maschi","Altri iscritti - Femmine","Altri iscritti - Totale","Cancellati per altri comuni - Maschi","Cancellati per altri comuni - Femmine","Cancellati per altri comuni - Totale","Cancellati per l'estero - Maschi","Cancellati per l'estero - Femmine","Cancellati per l'estero - Totale","Altri cancellati - Maschi","Altri cancellati - Femmine","Altri cancellati - Totale","Saldo Migratorio - Maschi","Saldo Migratorio - Femmine","Saldo Migratorio - Totale","Popolazione Residente in Famiglia - Maschi","Popolazione Residente in Famiglia - Femmine","Popolazione Residente in Famiglia - Totale","Popolazione Residente in Convivenza - Maschi","Popolazione Residente in Convivenza - Femmine","Popolazione Residente in Convivenza - Totale","Unità in più/meno dovute a variazioni territoriali - Maschi","Unità in più/meno dovute a variazioni territoriali - Femmine","Unità in più/meno dovute a variazioni territoriali - Totale","Popolazione al 31 dicembre - Maschi","Popolazione al 31 dicembre - Femmine","Popolazione al 31 dicembre - Totale","Numero di Famiglie","Numero di Convivenze","Numero medio di componenti per famiglia"
"Piemonte","2123610","2252255","4375865","14691","14381","29072","25394","28444","53838","-10703","-14063","-24766","62535","62231","124766","12148","11029","23177","4580","2353","6933","60112","60360","120472","6586","6088","12674","10393","6030","16423","2172","3135","5307","2093415","2219224","4312639","21664","22103","43767","0","0","0","2115079","2241327","4356406","2008027","3706","2.1"
"Valle d'Aosta","61695","64507","126202","482","422","904","729","748","1477","-247","-326","-573","2362","2397","4759","373","350","723","132","84","216","2344","2342","4686","243","230","473","305","197","502","-25","62","37","60746","63831","124577","677","412","1089","0","0","0","61423","64243","125666","61181","128","2"
"Liguria","743755","813226","1556981","4646","4397","9043","10277","11961","22238","-5631","-7564","-13195","18892","19162","38054","5241","4349","9590","3016","1751","4767","17791","17844","35635","1949","1884","3833","3773","2316","6089","3636","3218","6854","733140","801520","1534660","8620","7360","15980","0","0","0","741760","808880","1550640","769915","1375","2"
"Lombardia","4907685","5128573","10036258","38933","36760","75693","47128","52414","99542","-8195","-15654","-23849","155514","147885","303399","34959","31225","66184","12013","6624","18637","144303","138156","282459","16038","14305","30343","17184","10069","27253","24961","23204","48165","4891995","5099615","9991610","32456","36508","68964","0","0","0","4924451","5136123","10060574","4492606","4561","2.2"
"Trentino Alto Adige","525523","542125","1067648","4952","4685","9637","4365","5046","9411","587","-361","226","15319","15340","30659","3417","3485","6902","879","417","1296","13502","13560","27062","2267","2253","4520","1746","1127","2873","2100","2302","4402","520891","537845","1058736","7319","6221","13540","0","0","0","528210","544066","1072276","460232","953","2.3"
"Veneto","2395159","2508563","4903722","18163","17230","35393","23106","26030","49136","-4943","-8800","-13743","66480","68168","134648","18136","14985","33121","5811","3538","9349","63675","66423","130098","8477","7934","16411","8708","6026","14734","9567","6308","15875","2381257","2482816","4864073","18526","23255","41781","0","0","0","2399783","2506071","4905854","2087166","2906","2.3"
"Friuli Venezia Giulia","590427","626426","1216853","4036","3793","7829","6707","7769","14476","-2671","-3976","-6647","16242","16520","32762","5009","3370","8379","981","528","1509","14815","15100","29915","2135","2130","4265","2236","1220","3456","3046","1968","5014","585234","618799","1204033","5568","5619","11187","0","0","0","590802","624418","1215220","562880","778","2.1"
"Emilia Romagna","2162684","2289945","4452629","16813","15587","32400","23401","26410","49811","-6588","-10823","-17411","61926","60343","122269","15431","14444","29875","6066","3583","9649","54686","53526","108212","6091","6078","12169","10207","6946","17153","12439","11820","24259","2148768","2274457","4423225","19767","16485","36252","0","0","0","2168535","2290942","4459477","2016419","3596","2.2"
"Marche","743645","788108","1531753","5226","4945","10171","8117","9058","17175","-2891","-4113","-7004","15735","15982","31717","4674","4064","8738","1421","878","2299","15825","15990","31815","2539","2455","4994","3293","2130","5423","173","349","522","736613","780399","1517012","4314","3945","8259","0","0","0","740927","784344","1525271","647834","927","2.3"
"Toscana","1803203","1933765","3736968","12654","12209","24863","20329","23113","43442","-7675","-10904","-18579","44935","44891","89826","12025","11485","23510","5918","3868","9786","44356","44167","88523","4791","4727","9518","8518","5311","13829","5213","6039","11252","1786006","1918900","3704906","14735","10000","24735","0","0","0","1800741","1928900","3729641","1654825","2516","2.2"
